element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 1	4899.909	489.9909	0.310	1.8790	15155.157	4.0	4.4090	35560.983	5.0	11.0	1.060	1.040	GA	7.08E+07	7.850	-6.060	-7.760	-7.760	-7.760	1.000	0.720	56.720	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	489.9920	489.9706	490.0013		3488	3481	3491	0.460	0.349	489.9706	490.0013	3481	3491	489.9918	0.0053	-0.4608	1.000	9999.0000	0.0033	0.0124	7.5966	39464	0.461	0.450	0.0061	-4.91	60.9	4.9	78.5	0.815	1.000	0.0316	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4909.383	490.9383	-1.231	3.9290	31689.522	2.0	6.4530	52046.956	2.0	5.0	1.170	1.570	GA	1.02E+08	8.010	-5.570	-7.530	-7.530	-7.530	1.000	0.720	61.970	d	f	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	490.9390	490.9211	490.9636		3798	3792	3806	0.495	0.384	490.9211	490.9636	3792	3806	490.9388	0.0053	-0.4965	1.000	9999.0000	0.0028	0.0125	7.6461	39209	0.496	0.460	0.0066	-4.87	66.2	4.5	83.3	0.863	1.000	0.0319	0.032	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4910.017	491.0017	-1.310	3.3970	27398.654	3.0	5.9210	47756.086	3.0	7.0	1.250	1.240	GA	7.94E+07	7.900	-5.360	-7.550	-7.550	-7.550	1.000	0.780	82.530	p	s	F	0	1	26.0	26.000000	26.00	GESHRL14	T	T	T	T	T	T	491.0020	490.9817	491.0181		3819	3812	3824	0.603	0.492	490.9817	491.0181	3812	3824	491.0023	0.0058	-0.6039	1.000	9999.0000	0.0027	0.0136	8.3257	36008	0.604	0.560	0.0088	-4.75	87.7	4.8	81.8	0.760	1.000	0.0347	0.033	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4913.136	491.3136	-1.656	4.6080	37166.025	3.0	7.1300	57507.330	3.0	7.0	1.090	1.200	GA	1.48E+08	8.170	-4.620	-7.320	-7.320	-7.320	1.000	0.290	16.870	p	s	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	491.3140	491.2841	491.3384		3922	3912	3930	0.129	0.018	491.2841	491.3384	3912	3930	491.3136	0.0057	-0.1277	1.000	9999.0000	0.0056	0.0134	8.1879	36614	0.128	0.116	0.0018	-5.43	18.2	5.7	81.4	0.960	1.000	0.0342	0.016	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4915.229	491.5229	-0.910	1.8870	15219.681	5.0	4.4090	35560.983	5.0	11.0	1.210	1.040	AO	7.08E+07	7.850	-6.060	329.243	-7.617	329.243	1.000	0.180	9.550	s	p	F	0	1	22.0	22.000000	22.00	2013ApJS..	T	T	T	T	T	T	491.5230	491.5099	491.5459		3992	3987	3999	0.071	-0.040	491.5099	491.5459	3987	3999	491.5233	0.0059	-0.0732	1.000	9999.0000	0.0099	0.0139	8.4770	35365	0.073	0.068	0.0011	-5.66	10.8	6.0	81.0	0.975	1.000	0.0354	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4917.230	491.7230	-1.080	4.1910	33802.695	2.0	6.7120	54135.930	1.0	3.0	1.500	1.550	AO	2.95E+08	8.470	-4.720	962.278	-7.158	962.278	1.000	0.700	62.490	d	f	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	491.7230	491.7049	491.7498		4059	4052	4067	0.429	0.318	491.7049	491.7498	4052	4067	491.7234	0.0053	-0.4851	1.000	9999.0000	0.0033	0.0125	7.6138	39375	0.485	0.461	0.0064	-4.88	64.5	4.6	81.0	0.871	1.000	0.0318	0.030	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4918.012	491.8012	-1.260	4.2310	34125.316	0.0	6.7510	54450.487	1.0	3.0	0.000	1.470	AO	2.95E+08	8.470	-4.760	1015.279	-7.134	1015.279	1.000	0.640	50.900	d	f	F	0	1	26.0	26.000000	26.00	MRW	T	T	T	T	T	T	491.8010	491.7857	491.8186		4085	4079	4090	0.396	0.285	491.7857	491.8186	4079	4090	491.8016	0.0051	-0.4339	1.000	9999.0000	0.0038	0.0121	7.3609	40728	0.434	0.393	0.0056	-4.95	55.8	4.6	81.3	0.858	1.000	0.0308	0.027	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4924.770	492.4770	-2.216	2.2790	18381.375	2.0	4.7960	38682.349	2.0	5.0	1.510	1.150	AO	1.58E+08	8.200	-5.890	360.244	-7.578	360.244	1.000	0.810	90.500	s	p	F	0	1	26.0	26.000000	26.00	BK+BWL	T	T	T	T	T	T	492.4770	492.4463	492.5084		4312	4301	4322	0.633	0.522	492.4463	492.5084	4301	4322	492.4775	0.0060	-0.6474	1.000	9999.0000	0.0020	0.0140	8.5505	35061	0.647	0.632	0.0097	-4.71	96.8	4.3	89.6	0.837	1.000	0.0358	0.034	0.0000	0.0000	0	0.000	False	False	False
Cr 1	4936.335	493.6335	-0.250	3.1130	25108.038	3.0	5.6240	45360.620	4.0	9.0	0.970	0.820	AO	8.13E+07	7.910	-5.970	342.245	-7.600	342.245	1.000	0.640	45.760	s	p	F	0	1	24.0	24.000000	24.00	SLS	T	T	T	T	T	T	493.6340	493.6186	493.6534		4707	4701	4713	0.348	0.237	493.6186	493.6534	4701	4713	493.6342	0.0050	-0.3742	1.000	9999.0000	0.0038	0.0118	7.1791	41759	0.374	0.362	0.0047	-5.02	47.1	3.5	105.1	0.912	1.000	0.0301	0.012	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4937.348	493.7348	-0.390	3.6060	29084.351	4.0	6.1170	49336.933	4.0	9.0	1.290	1.220	AO	1.05E+08	8.020	-3.600	861.278	-7.206	861.278	1.000	0.750	79.730	p	d	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	493.7350	493.7172	493.7548		4742	4735	4748	0.524	0.413	493.7172	493.7548	4735	4748	493.7349	0.0061	-0.5717	1.000	9999.0000	0.0032	0.0144	8.7554	34241	0.572	0.515	0.0088	-4.75	87.7	4.0	104.6	0.819	1.000	0.0367	0.036	0.0000	0.0000	0	0.000	False	False	False
