element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 1	4393.923	439.3923	0.060	2.2670	18284.588	4.0	5.0880	41037.486	5.0	11.0	1.020	1.030	AO	9.77E+07	7.990	-5.870	360.245	-7.578	360.245	1.000	0.490	26.740	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	439.3930	439.3880	439.3980		139394	139388	139398	0.273	0.204	439.3880	439.3980	139388	139398	439.3929	0.0048	-0.2784	1.000	9999.0000	0.0034	0.0113	7.7277	38795	0.278	0.081	0.0034	-5.12	33.6	3.2	124.2	0.702	1.000	0.0289	0.017	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4394.059	439.4059	-1.770	1.2210	9848.029	0.5	4.0420	32600.927	1.5	4.0	0.660	1.200	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.830	73.580	d	p	F	0	2	22.1	22.000000	22.01	WLSC	T	T	T	T	T	T	439.4070	439.3980	439.4370		139408	139398	139437	0.670	0.602	439.3980	439.4370	139398	139437	439.4070	0.0046	-0.6863	1.000	9999.0000	0.0009	0.0108	7.3835	40603	0.686	0.683	0.0079	-4.74	79.1	2.4	124.2	0.759	1.000	0.0276	0.040	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4401.538	440.1538	0.040	3.1930	25753.283	4.0	6.0090	48465.852	5.0	11.0	1.510	1.400	AO	1.32E+08	8.120	-5.440	701.242	-7.289	701.242	1.000	0.870	134.280	p	s	F	0	1	28.0	28.000000	28.00	WLa	T	T	T	T	T	T	440.1550	440.1490	440.1880		140156	140149	140188	0.787	0.719	440.1490	440.1880	140149	140188	440.1544	0.0072	-0.7897	1.000	9999.0000	0.0011	0.0169	11.5050	26057	0.790	0.789	0.0142	-4.49	142.0	3.7	124.2	0.666	1.000	0.0430	0.039	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4410.518	441.0518	-1.080	3.3060	26664.688	3.0	6.1170	49336.933	4.0	9.0	1.500	1.220	AO	9.55E+07	7.980	-3.600	870.277	-7.201	870.277	1.000	0.740	54.340	p	d	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	441.0530	441.0400	441.0710		141054	141040	141071	0.507	0.438	441.0400	441.0710	141040	141071	441.0529	0.0042	-0.5250	1.000	9999.0000	0.0012	0.0099	6.7018	44733	0.525	0.524	0.0055	-4.90	55.1	2.3	124.2	0.864	1.000	0.0251	0.014	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4421.938	442.1938	-1.640	2.0610	16623.087	1.5	4.8640	39230.805	1.5	4.0	1.330	1.200	GA	2.24E+08	8.350	-6.460	-7.840	-7.840	-7.840	1.000	0.680	44.780	s	p	F	0	2	22.1	22.000000	22.01	WLSC	T	T	T	T	T	T	442.1950	442.1850	442.2010		142196	142185	142201	0.442	0.374	442.1850	442.2010	142185	142201	442.1950	0.0045	-0.4545	1.000	9999.0000	0.0020	0.0105	7.1098	42166	0.455	0.382	0.0051	-4.94	50.7	2.6	124.2	0.800	1.000	0.0267	0.020	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4422.820	442.2820	-1.100	1.0670	8605.936	2.0	3.8690	31205.589	3.0	7.0	1.490	1.340	GA	2.45E+07	7.390	-6.010	-7.740	-7.740	-7.740	1.000	0.510	26.850	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	442.2830	442.2750	442.2890		142284	142275	142289	0.289	0.221	442.2750	442.2890	142275	142289	442.2836	0.0047	-0.2903	1.000	9999.0000	0.0028	0.0110	7.4497	40242	0.290	0.226	0.0034	-5.11	34.0	3.1	124.2	0.716	1.000	0.0280	0.015	0.0000	0.0000	0	0.000	False	False	False
Co 1	4431.609	443.1609	-1.398	2.8770	23204.571	3.5	5.6740	45763.895	3.5	8.0	0.880	0.900	GA	1.51E+07	7.180	-6.230	-7.810	-7.810	-7.810	1.000	0.130	5.760	s	p	F	0	1	27.0	27.000000	27.00	K08	T	T	T	T	T	T	443.1600	443.1570	443.1700		143161	143157	143170	0.049	-0.019	443.1570	443.1700	143157	143170	443.1598	0.0048	-0.0498	1.000	9999.0000	0.0093	0.0113	7.6155	39366	0.050	0.047	0.0006	-5.87	6.0	3.3	124.2	0.870	1.000	0.0287	0.003	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4433.565	443.3565	-0.572	2.3960	19325.043	2.0	5.1920	41876.304	2.0	5.0	0.670	0.840	GA	1.00E+08	8.000	-5.320	-7.550	-7.550	-7.550	1.000	0.140	6.520	d	f	F	0	1	22.0	22.000000	22.00	K10	T	T	T	T	T	T	443.3570	443.3510	443.3640		143358	143351	143364	0.065	-0.003	443.3510	443.3640	143351	143364	443.3571	0.0045	-0.0654	1.000	9999.0000	0.0062	0.0106	7.2003	41636	0.065	0.037	0.0007	-5.78	7.4	3.2	124.2	0.811	1.000	0.0271	0.004	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4437.566	443.7566	-1.240	3.6790	29673.136	3.0	6.4720	52200.202	3.0	7.0	1.210	1.330	GA	5.13E+07	7.710	-4.810	-7.320	-7.320	-7.320	1.000	0.530	29.630	p	s	F	0	1	28.0	28.000000	28.00	FMW	T	T	T	T	T	T	443.7570	443.7400	443.7650		143758	143740	143765	0.299	0.230	443.7400	443.7650	143740	143765	443.7575	0.0040	-0.3001	1.000	9999.0000	0.0018	0.0094	6.3341	47330	0.300	0.284	0.0030	-5.17	30.0	2.4	124.2	0.904	1.000	0.0239	0.015	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4440.343	444.0343	-0.390	1.8730	15106.764	3.0	4.6650	37625.762	3.0	7.0	0.740	0.940	GA	1.41E+08	8.150	-5.500	-7.690	-7.690	-7.690	1.000	0.450	24.020	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	444.0360	444.0040	444.0400		144037	144004	144040	0.228	0.160	444.0040	444.0400	144004	144040	444.0357	0.0044	-0.2457	1.000	9999.0000	0.0019	0.0103	6.9858	42915	0.246	0.237	0.0027	-5.22	27.1	2.8	124.2	0.850	1.000	0.0264	0.017	0.0000	0.0000	0	0.000	False	False	False
