element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	4300.042	430.0042	-0.460	1.1800	9517.341	2.5	4.0630	32770.307	3.5	8.0	1.600	1.430	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.930	166.140	d	p	F	0	2	22.1	22.000000	22.01	WLSC	T	T	T	T	T	T	430.0060	429.9920	430.0180		130007	129992	130018	0.870	0.802	429.9920	430.0180	129992	130018	430.0058	0.0088	-0.8764	1.000	9999.0000	0.0018	0.0206	14.3807	20847	0.876	0.418	0.0192	-4.35	192.4	4.8	124.2	0.441	1.000	0.0526	0.075	0.0000	0.0000	0	0.000	False	False	False
Ca 1	4302.528	430.2528	0.292	1.8990	15316.468	2.0	4.7800	38553.302	2.0	5.0	1.500	1.500	GA	1.47E+08	8.167	-5.997	-7.804	-7.804	-7.804	1.000	0.920	205.850	s	p	F	0	1	20.0	20.000000	20.00	S	T	T	T	T	T	T	430.2540	430.2400	430.2660		130255	130240	130266	0.919	0.850	430.2400	430.2660	130240	130266	430.2547	0.0092	-0.9164	1.000	9999.0000	0.0017	0.0217	15.1065	19845	0.916	0.647	0.0211	-4.31	211.5	4.9	124.2	0.461	1.000	0.0552	0.063	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4321.652	432.1652	0.090	2.2360	18034.557	4.0	5.1040	41166.537	3.0	7.0	0.800	0.730	GA	1.51E+08	8.180	-4.950	-7.590	-7.590	-7.590	1.000	0.530	29.050	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	432.1660	432.1530	432.1720		132167	132153	132172	0.305	0.237	432.1530	432.1720	132153	132172	432.1665	0.0042	-0.3091	1.000	9999.0000	0.0022	0.0098	6.7946	44122	0.309	0.269	0.0032	-5.13	32.2	2.6	124.2	0.837	1.000	0.0250	0.026	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4326.753	432.6753	-1.932	2.9490	23785.288	5.0	5.8140	46893.074	4.0	9.0	1.200	1.340	AO	6.03E+07	7.780	-5.880	282.259	-7.687	282.259	1.000	0.830	67.000	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	432.6770	432.6550	432.6850		132678	132655	132685	0.609	0.541	432.6550	432.6850	132655	132685	432.6766	0.0045	-0.6449	1.000	9999.0000	0.0011	0.0106	7.3317	40890	0.645	0.553	0.0073	-4.77	72.6	2.4	124.2	0.740	1.000	0.0270	0.072	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4327.096	432.7096	-0.804	3.5470	28608.484	2.0	6.4110	51708.201	2.0	5.0	1.030	1.030	AO	9.77E+07	7.990	-5.260	297.272	-7.667	297.272	1.000	0.860	92.560	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	432.7110	432.7010	432.7320		132712	132701	132732	0.730	0.661	432.7010	432.7320	132701	132732	432.7116	0.0055	-0.7333	1.000	9999.0000	0.0013	0.0129	8.9424	33525	0.733	0.720	0.0101	-4.63	100.7	2.8	124.2	0.737	1.000	0.0329	0.025	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4327.776	432.7776	-2.411	3.6950	29802.185	4.0	6.5590	52901.903	5.0	11.0	0.980	0.830	GA	1.10E+08	8.040	-6.080	-7.790	-7.790	-7.790	1.000	0.390	18.790	s	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	432.7790	432.7590	432.7830		132780	132759	132783	0.173	0.105	432.7590	432.7830	132759	132783	432.7787	0.0050	-0.1800	1.000	9999.0000	0.0027	0.0117	8.1274	36887	0.180	0.174	0.0022	-5.28	22.5	3.3	124.2	0.818	1.000	0.0299	0.008	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4330.698	433.0698	-2.090	1.1800	9517.341	2.5	4.0420	32600.927	1.5	4.0	1.600	1.200	GA	2.57E+08	8.410	-6.490	-7.840	-7.840	-7.840	1.000	0.810	61.420	d	p	F	0	2	22.1	22.000000	22.01	WLSC	T	T	T	T	T	T	433.0710	433.0570	433.0870		133072	133057	133087	0.609	0.540	433.0570	433.0870	133057	133087	433.0712	0.0046	-0.6175	1.000	9999.0000	0.0012	0.0107	7.4217	40394	0.618	0.609	0.0070	-4.79	70.5	2.5	124.2	0.756	1.000	0.0273	0.072	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4333.197	433.3197	-1.137	4.1050	33109.058	3.0	6.9660	56184.580	4.0	9.0	1.190	1.050	GA	1.58E+08	8.200	-3.820	-7.270	-7.270	-7.270	1.000	0.350	18.650	p	d	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	433.3210	433.3130	433.3310		133322	133313	133331	0.167	0.098	433.3130	433.3310	133313	133331	433.3212	0.0045	-0.1702	1.000	9999.0000	0.0036	0.0105	7.2905	41121	0.170	0.127	0.0019	-5.36	19.1	2.9	124.2	0.890	1.000	0.0268	0.017	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4334.928	433.4928	-1.796	4.3010	34689.906	1.0	7.1610	57757.359	1.0	3.0	-0.020	0.000	GA	1.70E+08	8.230	-5.130	-7.320	-7.320	-7.320	1.000	0.400	20.690	p	s	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	433.4940	433.4880	433.5090		133495	133488	133509	0.188	0.120	433.4880	433.5090	133488	133509	433.4934	0.0048	-0.1955	1.000	9999.0000	0.0028	0.0113	7.8332	38272	0.196	0.170	0.0024	-5.26	23.6	3.1	124.2	0.873	1.000	0.0289	0.013	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4344.281	434.4281	-1.910	1.0840	8743.050	2.5	3.9370	31754.047	1.5	4.0	1.210	0.920	GA	1.45E+08	8.160	-6.430	-7.850	-7.850	-7.850	1.000	0.840	72.300	s	p	F	0	2	22.1	22.000000	22.01	PTP	T	T	T	T	T	T	434.4290	434.4130	434.4400		134430	134413	134440	0.684	0.616	434.4130	434.4400	134413	134440	434.4295	0.0046	-0.6860	1.000	9999.0000	0.0011	0.0108	7.4327	40334	0.686	0.604	0.0079	-4.74	78.7	2.5	124.2	0.644	1.000	0.0274	0.053	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4350.141	435.0141	-1.852	4.2830	34544.725	2.0	7.1330	57531.525	2.0	5.0	1.000	0.880	GA	1.74E+08	8.240	-4.590	-7.320	-7.320	-7.320	1.000	0.380	19.450	p	s	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	435.0160	435.0040	435.0200		135017	135004	135020	0.175	0.107	435.0040	435.0200	135004	135020	435.0166	0.0054	-0.1831	1.000	9999.0000	0.0079	0.0126	8.7093	34422	0.183	0.175	0.0025	-5.25	24.6	3.5	124.2	0.917	1.000	0.0322	0.012	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4351.544	435.1544	-1.729	2.9900	24115.977	4.0	5.8390	47094.713	3.0	7.0	1.050	1.160	AO	4.07E+07	7.610	-6.050	284.259	-7.684	284.259	1.000	0.840	73.850	s	p	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	435.1560	435.1450	435.1640		135157	135145	135164	0.668	0.599	435.1450	435.1640	135145	135164	435.1558	0.0048	-0.6913	1.000	9999.0000	0.0014	0.0114	7.8610	38137	0.691	0.559	0.0084	-4.71	84.0	2.7	124.2	0.585	1.000	0.0291	0.045	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4352.735	435.2735	-1.287	2.2230	17929.705	1.0	5.0700	40892.309	2.0	5.0	2.500	1.990	AO	3.02E+07	7.480	-6.220	203.262	-7.830	203.262	1.000	0.920	140.380	X	X	F	0	1	26.0	26.000000	26.00	BWL	T	T	T	T	T	T	435.2750	435.2640	435.2840		135276	135264	135284	0.838	0.770	435.2640	435.2840	135264	135284	435.2750	0.0065	-0.8476	1.000	9999.0000	0.0016	0.0154	10.6029	28275	0.848	0.586	0.0139	-4.50	138.9	3.2	124.2	0.651	1.000	0.0392	0.046	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4360.764	436.0764	-1.246	4.1910	33802.695	2.0	7.0330	56724.971	3.0	7.0	1.500	1.250	GA	2.24E+08	8.350	-4.210	-7.340	-7.340	-7.340	1.000	0.720	50.700	p	d	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	436.0800	436.0640	436.0990		136081	136064	136099	0.449	0.380	436.0640	436.0990	136064	136099	436.0800	0.0045	-0.4552	1.000	9999.0000	0.0014	0.0107	7.3224	40942	0.455	0.428	0.0052	-4.93	51.6	2.6	124.2	0.900	1.000	0.0271	0.013	0.0000	0.0000	0	0.000	False	False	False
Fe 2	4369.400	436.9400	-3.584	2.7780	22406.082	0.5	5.6150	45288.028	1.5	4.0	2.680	0.450	AO	2.88E+08	8.460	-6.540	180.249	-7.880	180.249	1.000	0.680	42.690	s	p	F	0	2	26.1	26.000000	26.01	RU	T	T	T	T	T	T	436.9410	436.9310	436.9490		136942	136931	136949	0.388	0.320	436.9310	436.9490	136931	136949	436.9416	0.0046	-0.3852	1.000	9999.0000	0.0019	0.0108	7.4430	40278	0.385	0.352	0.0044	-4.99	44.5	2.8	124.2	0.841	1.000	0.0276	0.029	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4370.035	437.0035	-1.466	3.6350	29318.252	3.0	6.4720	52200.202	3.0	7.0	1.090	1.330	GA	1.10E+08	8.040	-4.810	-7.320	-7.320	-7.320	1.000	0.430	22.100	p	s	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	437.0050	436.9980	437.0090		137006	136998	137009	0.161	0.092	436.9980	437.0090	136998	137009	437.0057	0.0052	-0.1654	1.000	9999.0000	0.0070	0.0122	8.3945	35713	0.165	0.124	0.0022	-5.31	21.5	3.6	124.2	0.721	1.000	0.0312	0.011	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4372.982	437.2982	-2.630	3.0170	24333.746	2.0	5.8520	47199.565	2.0	5.0	1.480	0.740	AO	3.39E+07	7.530	-6.100	233.252	-7.769	233.252	1.000	0.640	35.560	s	p	F	0	1	26.0	26.000000	26.00	FMW	T	T	T	T	T	T	437.2990	437.2930	437.3110		137300	137293	137311	0.333	0.265	437.2930	437.3110	137293	137311	437.2992	0.0041	-0.3329	1.000	9999.0000	0.0020	0.0098	6.6866	44835	0.333	0.305	0.0035	-5.10	34.6	2.6	124.2	0.762	1.000	0.0249	0.019	0.0000	0.0000	0	0.000	False	False	False
Ni 1	4386.458	438.6458	-1.440	3.8330	30915.230	1.0	6.6580	53700.392	1.0	3.0	0.550	0.500	GA	7.59E+07	7.880	-4.800	-7.320	-7.320	-7.320	1.000	0.330	16.770	p	s	F	0	1	28.0	28.000000	28.00	K08	T	T	T	T	T	T	438.6470	438.6330	438.6530		138648	138633	138653	0.148	0.080	438.6330	438.6530	138633	138653	438.6467	0.0043	-0.1584	1.000	9999.0000	0.0030	0.0101	6.8861	43536	0.158	0.145	0.0017	-5.41	17.0	2.8	124.2	0.907	1.000	0.0257	0.008	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4386.846	438.6846	-0.960	2.5980	20954.284	2.5	5.4230	43739.444	3.5	8.0	0.860	0.890	GA	2.82E+08	8.450	-6.540	-7.830	-7.830	-7.830	1.000	0.730	52.120	d	p	F	0	2	22.1	22.000000	22.01	PTP	T	T	T	T	T	T	438.6860	438.6760	438.6950		138687	138676	138695	0.515	0.447	438.6760	438.6950	138676	138695	438.6856	0.0044	-0.5412	1.000	9999.0000	0.0016	0.0104	7.1353	42015	0.541	0.408	0.0060	-4.86	60.1	2.6	124.2	0.720	1.000	0.0266	0.036	0.0000	0.0000	0	0.000	False	False	False
Fe 1	4392.305	439.2305	-2.760	3.5470	28608.484	2.0	6.3690	51369.449	3.0	7.0	1.030	1.100	GA	4.90E+07	7.690	-6.260	-7.770	-7.770	-7.770	1.000	0.280	12.980	s	p	F	0	1	26.0	26.000000	26.00	K07	T	T	T	T	T	T	439.2310	439.2210	439.2450		139232	139221	139245	0.102	0.034	439.2210	439.2450	139221	139245	439.2308	0.0050	-0.1038	1.000	9999.0000	0.0040	0.0117	7.9670	37629	0.104	0.086	0.0013	-5.53	12.9	3.4	124.2	0.853	1.000	0.0297	0.008	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4393.923	439.3923	0.060	2.2670	18284.588	4.0	5.0880	41037.486	5.0	11.0	1.020	1.030	AO	9.77E+07	7.990	-5.870	360.245	-7.578	360.245	1.000	0.490	26.740	s	p	F	0	1	22.0	22.000000	22.00	LGWSC	T	T	T	T	T	T	439.3930	439.3880	439.3980		139394	139388	139398	0.273	0.204	439.3880	439.3980	139388	139398	439.3929	0.0048	-0.2784	1.000	9999.0000	0.0034	0.0113	7.7277	38795	0.278	0.081	0.0034	-5.12	33.6	3.2	124.2	0.702	1.000	0.0289	0.017	0.0000	0.0000	0	0.000	False	False	False
